Payment ID,Charge Time,Donation Amount,FB Fee,Net Payout Amount,Payout Currency,Sender Currency,Tax Amount,Tax USD Amount,Charge Action Type,Charge Date,First Name,Last Name,Email Address,Campaign ID,Fundraiser Title,Source Name
4.18E+15,1625346830,80,0,80,USD,EUR,0,0,S,7/18/2021,Jamaal,Macrae,jamaal.macrae@nowhere.com,5.83E+14,Raffle,fundraiser
3.83E+15,1625417366,25,0,25,USD,CZK,0,0,S,5/7/2021,Marlin,Maples,marlin.maples@nowhere.com,5.83E+14,Birthday Fundraiser,fundraiser
3.95E+15,1625650287,40,0,40,USD,CZK,0,0,S,9/21/2021,Kelly,Coddington,kelly.coddington@nowhere.com,5.83E+14,Raffle,fundraiser
3.90E+15,1625904878,55,0,55,USD,CZK,0,0,S,8/15/2020,Norbert,Mcaleer,norbert.mcaleer@nowhere.com,5.83E+14,Birthday Fundraiser,fundraiser
3.85E+15,1626179637,95,0,95,USD,USD,0,0,S,11/29/2020,Norbert,Mcaleer,norbert.mcaleer@nowhere.com,4.17E+15,City Fair,fundraiser
4.05E+15,1627041052,5,0,5,USD,USD,0,0,S,10/15/2020,Ben,Going,ben.going@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,85,0,85,USD,USD,0,0,S,11/2/2020,Phuong,Triggs,phuong.triggs@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,50,0,50,USD,USD,0,0,S,11/27/2020,Angel,Mahoney,angel.mahoney@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,100,0,100,USD,USD,0,0,S,1/2/2020,Calista,Daugherty,calista.daugherty@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
4.05E+15,1627041052,60,0,60,USD,USD,0,0,S,9/23/2021,Norbert,Mcaleer,norbert.mcaleer@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
4.05E+15,1627041052,45,0,45,USD,USD,0,0,S,10/2/2021,Phuong,Triggs,phuong.triggs@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,100,0,100,USD,USD,0,0,S,6/11/2021,Luther,Wire,luther.wire@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
4.05E+15,1627041052,10,0,10,USD,USD,0,0,S,2/26/2020,Porfirio,Hersey,porfirio.hersey@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,85,0,85,USD,USD,0,0,S,7/28/2020,Ben,Going,ben.going@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,60,0,60,USD,USD,0,0,S,3/4/2021,Ben,Going,ben.going@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,100,0,100,USD,USD,0,0,S,6/30/2021,Calista,Daugherty,calista.daugherty@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,15,0,15,USD,USD,0,0,S,5/21/2020,Treena,Mcnellis,treena.mcnellis@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,25,0,25,USD,USD,0,0,S,4/20/2021,Luther,Wire,luther.wire@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,55,0,55,USD,USD,0,0,S,10/27/2020,Jamaal,Macrae,jamaal.macrae@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,65,0,65,USD,USD,0,0,S,4/10/2020,Marlin,Maples,marlin.maples@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
4.05E+15,1627041052,80,0,80,USD,USD,0,0,S,1/26/2021,Calista,Daugherty,calista.daugherty@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
4.05E+15,1627041052,35,0,35,USD,USD,0,0,S,8/4/2020,Kelly,Coddington,kelly.coddington@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,10,0,10,USD,USD,0,0,S,9/20/2020,Angel,Mahoney,angel.mahoney@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,10,0,10,USD,USD,0,0,S,9/20/2021,Treena,Mcnellis,treena.mcnellis@nowhere.com,2.16E+15,Raffle,fundraiser
4.05E+15,1627041052,30,0,30,USD,USD,0,0,S,4/21/2020,Phuong,Triggs,phuong.triggs@nowhere.com,2.16E+15,City Fair,fundraiser
4.05E+15,1627041052,40,0,40,USD,USD,0,0,S,10/3/2021,Porfirio,Hersey,porfirio.hersey@nowhere.com,2.16E+15,Birthday Fundraiser,fundraiser
