Date,Time,TimeZone,Name,Type,Status,Currency,Gross,Fee,Net,From Email Address,To Email Address,Transaction ID,Shipping Address,Address Status,Item Title,Item ID,Shipping and Handling Amount,Insurance Amount,Sales Tax,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Reference Txn ID,Invoice Number,Custom Number,Quantity,Receipt ID,Balance,Address Line 1,Address Line 2/District/Neighborhood,Town/City,State/Province/Region/County/Territory/Prefecture/Republic,Zip/Postal Code,Country,Contact Phone Number,Subject,Note,Country Code,Balance Impact
7/18/2021,19:47:53,PDT,Patti Krueger,Donation Payment,Completed,USD,40,0,40,patti.krueger@nowhere.com,support@patreon.com,OSG809WX31EJEB5AS,,Non-Confirmed,Patreon* Membership,,,,,,,,,,,,,,,,,,,,,,,,,
5/7/2021,19:34:40,PDT,Kelly Coddington,Subscription Payment,Completed,USD,75,-1.03,73.97,kelly.coddington@nowhere.com,donor_contact@donordb.org,UALJS1452NS3TGFFD,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
9/21/2021,12:35:14,PDT,Porfirio Hersey,Donation Payment,Completed,USD,45,-7.55,37.45,porfirio.hersey@nowhere.com,donor_contact@donordb.org,OM7UT3XMOKGPOGWP4,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
8/15/2020,11:28:22,PDT,Luther Wire,Subscription Payment,Completed,USD,85,-1.75,83.25,luther.wire@nowhere.com,donor_contact@donordb.org,H6RSWBTAVMPNYELR5,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2020,0:53:42,PDT,Calista Daugherty,Donation Payment,Completed,USD,100,-1.75,98.25,calista.daugherty@nowhere.com,donor_contact@donordb.org,43K42MRHR714544NO,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/2020,8:54:54,PDT,Treena Mcnellis,Subscription Payment,Completed,USD,95,-3.2,91.8,treena.mcnellis@nowhere.com,donor_contact@donordb.org,9H19D4LGGLLRF6FSV,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
11/2/2020,21:36:19,PDT,Marlin Maples,Donation Payment,Completed,USD,30,-1.75,28.25,marlin.maples@nowhere.com,donor_contact@donordb.org,6W3XU27NLH68FB78C,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
11/27/2020,1:53:22,PDT,Luther Wire,PreApproved Payment Bill User Payment,Completed,USD,85,0,85,luther.wire@nowhere.com,paypal@mailchimp.com,A7YKF223ISTEQ1ET0,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/2020,1:14:40,PDT,Luther Wire,Donation Payment,Completed,USD,15,-0.88,14.12,luther.wire@nowhere.com,donor_contact@donordb.org,L8V3OW9GPRTFULNHE,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
9/23/2021,18:05:53,PDT,Patti Krueger,Subscription Payment,Completed,USD,95,-0.96,94.04,patti.krueger@nowhere.com,donor_contact@donordb.org,F2QCQ7HOTGZZCAUMP,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
10/2/2021,9:43:49,PDT,Ben Going,Donation Payment,Completed,USD,95,0,95,ben.going@nowhere.com,donor_contact@donordb.org,BV4F9MQ2OXO7Y7APM,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2021,5:31:04,PDT,Luther Wire,Subscription Payment,Completed,USD,5,-0.88,4.12,luther.wire@nowhere.com,donor_contact@donordb.org,SFKTUD6S8V9L4DQN5,,Non-Confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,
